dim,dtype,block_size,threads,mean_numpy,stdev_numpy,mean_numba,stdev_numba,mean_cython,stdev_cython,speedup_numba,speedup_cython
64,float32,63,5,3.276038914918899e-05,8.930722248012799e-07,3.0229124240577222e-05,2.669492632206778e-07,2.866049762815237e-05,1.8610852813370566e-07,1.0837359656358816,1.1430502559386624
128,float32,14,8,0.007870774960611015,0.002006407140555723,0.00023365421220660209,3.3705941928315133e-06,0.0002162144985049963,0.00021257469805617668,33.685568457253005,36.40262339035112
256,float32,47,6,0.0012860770686529577,0.0021232351972390287,0.0006012144964188338,0.00016709730271250483,0.0009087272919714451,0.0003716949149805802,2.139131834500905,1.4152508458977482
400,float32,41,4,0.0021148354397155346,0.0007077838342096386,0.0028576353681273757,0.000803453731179263,0.0020194896147586404,0.0005843203816711046,0.7400648323797161,1.0472128325197103
512,float32,26,2,0.007501643965952098,0.005273465418016965,0.006039841647725553,0.003399034253572848,0.0061703104875050485,0.0036786296448780564,1.2420265966371855,1.2157644224132669
768,float32,63,8,0.010249160625971854,0.0025235952806973573,0.011034439643844962,0.002226525932433038,0.010475079074967652,0.002030475060652507,0.928833810939268,0.9784327691104809
1024,float32,11,5,0.020063137402758002,0.0020030803836690006,0.024288995808456094,0.0026680772845385538,0.022147073049563915,0.0026723207718857816,0.8260175744183347,0.9059046925911076
