dim,mean_time_bandit,mean_time_bayes,delta_time,best_method
64,3.116261214017868e-05,4.450440173968673e-05,1.3341789599508051e-05,bandit
128,0.0101586124626919,0.0274996456806547,0.0173410332179628,bandit
256,0.0005924041033722,0.0010369039955548,0.00044449989218260015,bandit
400,0.0216129376087337,0.0107592293992638,-0.010853708209469902,bayes
512,0.0173819542862474,0.005448524991516,-0.011933429294731398,bayes
768,0.0198761751176789,0.0454460375010967,0.0255698623834178,bandit
1024,0.028407595900353,0.0383013374870643,0.009893741586711302,bandit
