dim,dtype,block_size,threads,mean_numpy,stdev_numpy,mean_numba,stdev_numba,mean_cython,stdev_cython,speedup_numba,speedup_cython
64,float32,64,1,3.1145720276981594e-05,9.396351709663734e-07,4.73771127872169e-05,2.690898778798032e-07,2.875421196222305e-05,2.0945349186252759e-07,0.6574001336228578,1.0831707131428425
128,float32,8,2,0.00016133547760546207,1.7886458942077039e-06,0.00025316668907180426,8.886684187974362e-05,0.00026069800369441507,0.00027345718916376734,0.6372697695616005,0.618859658758938
256,float32,64,4,0.00071379360742867,0.0002381123157192542,0.0009413125575520098,0.0005051242114147711,0.0009159478708170354,0.0005579886940040736,0.7582960640459013,0.7792950124901304
400,float32,16,2,0.0023067355738021432,0.0013628792763753048,0.002234397851862013,0.000520435153931366,0.002104793698526919,0.0007072692087047066,1.0323745933965378,1.0959437855674679
512,float32,32,4,0.005375139636453241,0.003146282551193526,0.004806651943363249,0.0009033493525087003,0.004833777190651744,0.0010455699173205196,1.1182710335153199,1.11199573841518
768,float32,32,4,0.009541139553766698,0.0013742400531299213,0.011775097879581153,0.0020638973061792684,0.01083607084583491,0.0024689092786011287,0.8102811247379696,0.8804980780864912
1024,float32,16,2,0.023531849880237134,0.005291932879478988,0.029417810461018233,0.005056344839129861,0.024059264559764416,0.005704596555894162,0.7999184681477015,0.9780785203048432
